company_id,company_name,company_type,email_domain,company_website,company_logo
ee9c5b78-251f-4577-8601-8332fa0066e6,RiskMinute,carrier,riskminute.com,https://www.riskminute.com,riskminute.svg
7df043d5-d1da-4593-8339-8ff049932ed4,CNA,carrier,cna.com,https://www.cna.com,cna.png
335305af-a5c7-40c2-b6cc-594165825a92,American Family Insurance,carrier,amfam.com,https://www.amfam.com,american_family.png
882fac1b-768d-4d64-b744-3a6efca6edbc,Nationwide,carrier,nationwide.com,https://www.nationwide.com,nationwide.png
61ef07b9-4e79-48df-9f2d-7f5773cee24c,Dohrmann Insurance,broker,dohrins.com,https://www.dorhins.com,dorhmann.png
0c585f30-df80-4530-86b9-af90d7d8b59d,ICW,carrier,icwgroup.com,https://www.icwgroup.com/,ICWGroupLogobw.png
ab5ec825-7117-4bd1-a908-d81de0505028,Risico,carrier,risico.com,https://risico.com/,risicologobw.png
253d1d11-edd3-4678-bae1-7836b79b7689,Liberty Mutual,carrier,libertymutual.com,https://www.libertymutual.com/,LibertyMutualLogobw.png
8b0f9f5c-bc68-43a2-9f88-d9ce65b33880,Midwest,carrier,midins.com,https://www.midins.com/,midwestlogobw.png
93c97712-730a-4bed-a444-5684fd517b2c,Patriot National,carrier,patriotnational.com,http://patriotnational.com/,PNUlogobw.png
c0449272-f234-40ea-9d52-5bed21213c6f,PIE Insurance,carrier,pieinsurance.com,https://pieinsurance.com/,pieinsurancelogobw.png
261a525e-44b3-4ca7-8952-865804903653,Republic Indemnity,carrier,ri-net.com,https://www.republicindemnity.com/,republicindemitylogobw.png
ddc143bb-79a5-4a00-90cc-d53721cdb32e,The Zenith Insurance,carrier,thezenith.com,https://www.thezenith.com/,Zenithlogobw.png
2960a1b4-6ecf-407a-90a9-d7d93b06e0f6,Travelers,carrier,travelers.com,https://www.travelers.com/,travelerslogobw.png
c742fe40-8e99-4488-a7fa-695759ac4594,Fireman's Fund,carrier,firemansfund.com,https://www.hmia.com/insurance-company/firemans-fund,firemansfundlogobw.png
c01e3bf8-0b18-4348-b194-f4dcfb21141f,JJ Negley,carrier,jjnegley.com,https://www.jjnegley.com/,NegleyLogobw.png
c12af9ba-0d29-40f8-955e-ff77b74924fa,Omaha National,carrier,omahanational.com,https://www.omahanational.com/,omahanationallogobw.png
4a26cc09-4bb2-4bb1-988d-13937fab72ea,Mid Western Insurance,carrier,mwiainsurance.com,https://midwesterninsurance.com/,Midwesternbw.png
313fc125-3006-4857-8285-f2c35e9d7961,Amtrust,carrier,amtrustgroup.com,https://amtrustfinancial.com/,amtrustbw.png
2e733b06-e82a-420a-9656-5c01fa51f1b4,Atlas,carrier,atlas.us.com,https://www.atlas.us.com/,Atlas_Logo_2021_Color_Website.webp
f7030d01-56e1-4611-aa0d-37352a83f2af,Applied Underwriters,carrier,auw.com,https://www.auw.com/,AppliedUnderwritersLogobw.png
0f778ae4-d1bb-4d2a-ae15-40f4cd56c6b9,Hartford,carrier,thehartford.com,https://www.thehartford.com/,Hartfordlogobw.png
488394dd-ac32-4f91-aae0-9ba2e36854b7,Berkshire Hathaway Homestate Insurance,carrier,bhhc.com,https://www.bhhc.com/,berkshirelogobw.png
960ac3ca-c9c6-4533-8467-79c27c335688,All Risks,carrier,allrisks.com,https://www.allrisks.com,RSG-Logo-RGB-03192020.png
04f21f2d-9c82-43db-bb40-bff104123669,Hanover,carrier,hanover.com,https://www.hanover.com/,hanoverlogobw.png
2c7aaa02-f45c-4dfd-a99b-87d41ab5caa1,Capital Insurance Group,carrier,ciginsurance.com,https://www.ciginsurance.com/,cigbw.png
59fc5d42-19f0-4fc3-a693-16ad4fc0610c,Builders Insurance Services,carrier,insuranceBIS.com,https://insurancebis.com/,BIS_logo_color.png
4b4203f2-0176-4feb-8f33-f1a66b45255d,Crum & Forster,carrier,cfins.com,https://www.cfins.com/,cfins_logo_white.svg
